N,P,K,temperature,humidity,ph,rainfall,label
14,58,17,30.53684308,59.96664731,4.605700542,33.48919022,mothbeans
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,blackgram
82,40,45,26.21312799,81.70476368,6.667633355,180.1237765,jute
33,12,8,25.26052689,90.31153735,6.822282114,117.36952959999998,orange
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
111,50,15,25.16820129,80.30351815,7.884550475,84.62419032,cotton
6,63,23,26.01630259,49.94704718,5.906596905,160.33374469999995,pigeonpeas
26,126,195,21.41363812,92.99124545,5.878568981,118.39790649999999,apple
38,141,198,13.05809741,80.28297993,5.757009965,70.75633584,grapes
89,83,47,28.09577643,77.79586769,5.63127166,109.54086140000001,banana
87,28,30,25.60153969,68.66257977,6.536676653,168.8383605,coffee
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,blackgram
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice
40,29,42,24.63228709,89.01574455,7.1040949289999995,110.69561840000001,pomegranate
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,blackgram
91,21,50,24.33528185,81.44030363,6.762030215,48.32113628,watermelon
37,73,21,29.50304807,63.46513414,5.560224582999999,189.5208915,pigeonpeas
13,126,204,23.1094265,92.79630809,6.3831802710000005,108.183792,apple
37,79,19,27.54384835,69.3478631,7.143942758,69.40878198,blackgram
39,69,53,25.9300384,93.02357765,6.964955435,241.82020789999999,papaya
35,30,34,28.297476399999997,95.41122824,6.141502001,182.4482352,coconut
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,blackgram
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize
106,14,45,24.47018505,84.16390229,6.417011754,57.26773002,watermelon
6,59,21,26.58972517,66.14007674,6.139215944,50.90994463,lentil
15,140,195,13.28504331,83.54193816,5.69945282,65.80006004,grapes
29,132,204,23.08950736,90.22507299,6.0967531,108.2166601,apple
35,38,19,25.32688786,63.18180319,9.112771682,32.71129281,mothbeans
93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,banana
25,76,17,31.74105409,68.63525428,7.241148507,62.3061735,blackgram
92,7,48,26.27520631,86.63249555,6.956508826,54.38748495,watermelon
35,80,25,28.09269012,44.93322042,4.895927306,197.11440109999998,pigeonpeas
98,44,21,25.77175115,74.089114,6.524478032,107.49319170000001,maize
5,19,25,27.351105600000004,54.43945147,6.441328044,96.27792547,mango
36,54,46,42.54744013,94.94482086,6.662875839,214.41038480000003,papaya
98,18,27,27.56088634,68.49299897,6.516312148,167.43580749999995,coffee
34,66,19,32.97030511,60.18122078,7.586642101,73.44678678,blackgram
36,58,25,28.66024187,59.3189118,8.399135957999999,36.92629678,mothbeans
26,66,22,18.06486101,65.1034354,6.300479414,51.54922825,lentil
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,blackgram
93,94,53,25.86632408,84.42379269,6.079178787999999,114.5357503,banana
29,17,29,29.20394909,95.66997327,5.959493188,211.2506267,coconut
121,47,16,23.60564038,79.29573149,7.7232401510000015,72.49800885,cotton
37,24,13,19.14381903,90.71037456,7.8546243,108.02307920000001,orange
28,68,19,34.63880966,61.38597868,7.69950698,72.43169115,blackgram
85,22,53,25.96534238,89.77076659,6.849471704,59.46338556,watermelon
119,7,55,26.03867719,84.6378378,6.031424482,44.3993381,watermelon
9,59,25,30.39321309,60.16299493,7.699200949,35.37493212,mothbeans
136,36,20,23.09595631,84.86275707,6.925412377000001,71.29581071,cotton
22,42,22,25.54249137,56.96640758,7.887658711,48.46797044,mothbeans
92,85,51,29.22118628,81.08183635,5.740764682000001,108.86164740000001,banana
40,5,29,28.48444906,97.76865458,5.820978791,160.389421,coconut
28,46,16,29.008124,84.96089355,6.6641878089999995,45.91011391,mungbean
36,133,198,25.51939719,83.98351748,6.2286454,69.17281221,grapes
28,45,23,29.65021184,80.29868321,6.489259136,56.76278363,mungbean
40,78,20,19.18572809,20.83398341,5.669236258,80.15293435,kidneybeans
55,78,21,33.39438752,62.93692886,6.602888248999999,63.57445989,blackgram
19,57,23,23.6734328,47.2879691,7.342409555,141.12507219999995,pigeonpeas
11,124,204,13.42988625,80.06633966,6.361141107000001,71.40043037,grapes
24,70,16,25.17885316,68.93307305,6.54803469,35.03484812,lentil
23,62,19,16.51783455,20.4555596,5.609435127999999,98.77794225,kidneybeans
11,36,31,27.92063282,51.77965917,6.47544932,100.2585673,mango
110,22,47,29.03157242,91.82172592,6.243673725,24.93861254,muskmelon
23,7,34,26.105511800000002,91.52421214,5.852038202,134.1279669,coconut
0,17,42,23.20242586,91.19442671,6.8598408210000015,109.09463229999999,pomegranate
86,40,39,25.72100868,88.16513579,6.207459637,175.60866969999995,jute
118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,watermelon
99,6,45,26.12588914,86.5507939,6.000975617000001,40.71210074,watermelon
95,88,52,28.00316034,78.90085998,6.235461772000001,94.68180316,banana
19,24,15,20.48954522,93.72485075,7.137136973,111.83919509999998,orange
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,banana
81,30,48,28.52379742,92.09688432,6.041027474,29.86681385,muskmelon
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram
15,125,199,18.426993600000007,80.55625868,5.569230319,69.75734306,grapes
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea
90,16,45,24.92093261,80.61750795,6.291540277999999,50.55710813,watermelon
120,24,47,26.98603693,89.4138489,6.260838965,58.54876687,watermelon
111,39,22,22.60361557,80.35090459999998,6.135025006,88.57395505,cotton
6,48,24,28.6362812,84.61431076,6.7907363389999995,48.48319335,mungbean
23,138,195,22.49095104,91.70292746,5.7959857160000015,124.3915101,apple
31,79,75,18.820225100000002,16.1074793,8.204862075,89.73119396,chickpea
5,59,15,18.87492997,20.18238348,5.97229163,134.1811718,kidneybeans
121,53,19,23.51308653,76.72621429,7.976889497999999,80.11272117,cotton
40,16,35,34.16438906,54.16482251,4.954739564,98.33351125,mango
114,27,48,27.82054812,93.03555162,6.528404377999999,26.32405487,muskmelon
20,27,41,20.51343484,92.51675903,5.700088663,110.5764023,pomegranate
42,58,25,27.45853567,62.90020977,6.513620917999999,69.46020927,blackgram
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
16,10,41,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
38,68,54,29.33710543,90.81781439,6.739170045,202.0572747,papaya
32,138,197,9.535585543,80.73112694,5.908724337000001,69.44115171,grapes
41,74,18,28.75751783,61.02701476,6.599147297999999,73.37686831,blackgram
40,144,196,22.71750705,92.25479855,5.987262638,107.0289866,apple
39,52,53,32.51247398,94.65904123,6.704204398,51.07048113,papaya
25,132,198,22.31944084,90.85174383,5.732757516,100.1173443,apple
42,53,48,23.11407669,94.31994776,6.7584795689999995,231.51531609999998,papaya
11,72,22,29.37735586,44.82294584,6.842744374,172.40168,pigeonpeas
19,38,26,31.48451729,48.77926304,4.525722333,93.17221967,mango
23,65,20,23.0429097,22.42610972,5.833940084,108.3684316,kidneybeans
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice
123,44,21,25.78544484,75.00539324,7.6411165689999985,91.39578861,cotton
36,44,21,25.12528913,51.33189406,4.516154055,38.48678973,mothbeans
60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,rice
9,8,15,14.34320488,94.35734702,7.994465371,110.22231229999998,orange
100,40,35,27.56441788,54.41094079,6.9557873510000015,177.816092,coffee
9,29,34,29.38471637,45.88744691,5.72742254,100.8124659,mango
95,75,50,28.08166093,75.26429821,5.623615687000001,118.2761894,banana
14,121,203,9.724457611,83.74765639,6.1586894060000015,74.46411148,grapes
101,17,47,29.49401389,94.72981338,6.185053234,26.30820876,muskmelon
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,chickpea
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
